"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 21, 2021","1,785.40","1,785.80","1,792.50","1,780.40","0.46K","-0.17%"
"Oct 20, 2021","1,788.40","1,776.30","1,791.70","1,775.70","2.19K","0.81%"
"Oct 19, 2021","1,774.10","1,767.70","1,789.40","1,767.70","0.63K","0.27%"
"Oct 18, 2021","1,769.30","1,771.00","1,775.00","1,763.90","1.24K","-0.15%"
"Oct 15, 2021","1,771.90","1,800.70","1,800.70","1,770.10","0.98K","-1.64%"
"Oct 14, 2021","1,801.50","1,797.00","1,804.50","1,793.10","0.91K","0.17%"
"Oct 13, 2021","1,798.50","1,766.70","1,800.10","1,761.60","3.95K","2.02%"
"Oct 12, 2021","1,762.90","1,755.20","1,773.00","1,755.20","3.26K","0.20%"
"Oct 11, 2021","1,759.40","1,757.40","1,764.20","1,753.70","2.61K","-0.10%"
"Oct 08, 2021","1,761.10","1,759.60","1,785.50","1,758.10","2.91K","-0.09%"
"Oct 07, 2021","1,762.70","1,763.00","1,769.90","1,755.90","3.05K","-0.14%"
"Oct 06, 2021","1,765.10","1,759.40","1,768.80","1,749.50","1.07K","0.05%"
"Oct 05, 2021","1,764.20","1,769.00","1,769.00","1,752.70","1.43K","-0.36%"
"Oct 04, 2021","1,770.60","1,764.50","1,774.00","1,752.00","0.75K","0.52%"
"Oct 01, 2021","1,761.50","1,758.60","1,766.00","1,753.30","1.17K","0.10%"
"Sep 30, 2021","1,759.70","1,732.90","1,766.00","1,727.70","3.44K","1.93%"
"Sep 29, 2021","1,726.30","1,737.60","1,749.20","1,725.00","0.99K","-0.85%"
"Sep 28, 2021","1,741.10","1,750.80","1,754.20","1,732.00","0.79K","-0.83%"
"Sep 27, 2021","1,755.60","1,762.30","1,762.30","1,748.60","0.98K","0.01%"
"Sep 24, 2021","1,755.40","1,753.00","1,761.00","1,745.50","0.84K","0.11%"
"Sep 23, 2021","1,753.40","1,771.30","1,780.20","1,742.10","1.21K","-1.64%"
"Sep 22, 2021","1,782.70","1,782.70","1,791.20","1,770.00","0.49K","0.04%"
"Sep 21, 2021","1,781.90","1,770.20","1,785.80","1,765.70","0.64K","0.81%"
"Sep 20, 2021","1,767.50","1,753.00","1,771.00","1,748.30","1.07K","0.72%"
"Sep 17, 2021","1,754.90","1,757.40","1,771.40","1,751.00","2.34K","-0.31%"
"Sep 16, 2021","1,760.40","1,799.00","1,799.00","1,750.00","0.66K","-2.12%"
